Order ID,Order Date,CustomerName,State,City
B-26000,11-03-2018,Madan Mohan,West Bengal,Siliguri
B-26001,27-05-2018,Uudhav,Punjab,Amritsar
B-26002,22-06-2018,Anjali,Andhra Pradesh,Vijayawada
B-26003,13-09-2018,Sudevi,West Bengal,Kolkata
B-26004,26-06-2018,Vrinda,Andhra Pradesh,Hyderabad
B-26005,06-04-2018,Madan Mohan,Maharashtra,Nagpur
B-26006,20-08-2018,Lalita,Maharashtra,Mumbai
B-26007,12-11-2018,Sarita,Delhi,Delhi
B-26008,05-09-2018,Krishna,Delhi,Delhi
B-26009,30-09-2018,Madan Mohan,Uttar Pradesh,Lucknow
B-26010,17-07-2018,Sarita,Punjab,Amritsar
B-26011,09-03-2018,Anjali,Maharashtra,Mumbai
B-26012,02-01-2018,Madhav,Gujarat,Ahmedabad
B-26013,06-01-2018,Krishna,Andhra Pradesh,Hyderabad
B-26014,14-04-2018,Uudhav,Punjab,Amritsar
B-26015,14-11-2018,Harivansh,Punjab,Ludhiana
B-26016,02-03-2018,Madhav,Andhra Pradesh,Hyderabad
B-26017,19-09-2018,Vishakha,Karnataka,Bengaluru
B-26018,26-03-2018,Shiva,Maharashtra,Nagpur
B-26019,05-08-2018,Harivansh,Delhi,Delhi
B-26020,10-06-2018,Shreyshi,Andhra Pradesh,Vijayawada
B-26021,06-11-2018,Shreyshi,West Bengal,Siliguri
B-26022,17-12-2018,Anjali,Karnataka,Bengaluru
B-26023,06-04-2018,Shiva,West Bengal,Siliguri
B-26024,03-11-2018,Sudevi,Gujarat,Ahmedabad
B-26025,18-07-2018,Bhishm,Gujarat,Surat
B-26026,27-04-2018,Sudevi,Gujarat,Ahmedabad
B-26027,08-04-2018,Vrinda,West Bengal,Kolkata
B-26028,06-04-2018,Ramesh,Delhi,Delhi
B-26029,27-10-2018,Yogesh,Maharashtra,Nagpur
B-26030,01-03-2018,Gopal,Gujarat,Ahmedabad
B-26031,09-03-2018,Lalita,Madhya Pradesh,Bhopal
B-26032,07-04-2018,Uudhav,Madhya Pradesh,Bhopal
B-26033,24-02-2018,Sarita,Delhi,Delhi
B-26034,26-12-2018,Vishakha,Andhra Pradesh,Vijayawada
B-26035,20-08-2018,Gopal,Gujarat,Surat
B-26036,10-09-2018,Gopal,Madhya Pradesh,Bhopal
B-26037,08-09-2018,Madan Mohan,Madhya Pradesh,Bhopal
B-26038,02-11-2018,Madhav,Andhra Pradesh,Vijayawada
B-26039,26-05-2018,Shiva,Karnataka,Mysuru
B-26040,28-02-2018,Gopal,Delhi,Delhi
B-26041,11-04-2018,Vishakha,Madhya Pradesh,Bhopal
B-26042,22-02-2018,Harivansh,Andhra Pradesh,Hyderabad
B-26043,02-03-2018,Shreyshi,Delhi,Delhi
B-26044,01-03-2018,Madhav,Delhi,Delhi
B-26045,14-02-2018,Sarita,Punjab,Amritsar
B-26046,04-06-2018,Shreyshi,Madhya Pradesh,Indore
B-26047,09-07-2018,Sarita,Punjab,Amritsar
B-26048,29-08-2018,Gopal,Madhya Pradesh,Bhopal
B-26049,01-05-2018,Vishakha,Uttar Pradesh,Lucknow
B-26050,12-08-2018,Bhishm,Maharashtra,Pune
B-26051,31-12-2018,Krishna,West Bengal,Kolkata
B-26052,08-02-2018,Uudhav,Uttar Pradesh,Varanasi
B-26053,18-03-2018,Sudevi,Delhi,Delhi
B-26054,22-06-2018,Vishakha,Delhi,Delhi
B-26055,27-11-2018,Madan Mohan,West Bengal,Kolkata
B-26056,29-07-2018,Bhishm,Maharashtra,Nagpur
B-26057,26-05-2018,Yogesh,Gujarat,Surat
B-26058,12-07-2018,Ramesh,Maharashtra,Nagpur
B-26059,27-02-2018,Sudevi,Madhya Pradesh,Indore
